Province,Unpaid employment (% of total employment),"Unpaid employment, male (% of male employment)","Unpaid employment, female (% of female employment)"
Federal Capital Territory,5.88,3.83,14.13
Khyber Pakhtunkhwa,5.36,3.93,13.01
Khyber Pakhtunkhwa,11.19,11.29,9.21
Khyber Pakhtunkhwa,41.84,10.16,83.54
Khyber Pakhtunkhwa,11.07,11.08,10.73
Khyber Pakhtunkhwa,11.2,11.85,1.96
Khyber Pakhtunkhwa,7.98,5.47,34.25
Khyber Pakhtunkhwa,10.2,8.93,26.02
Khyber Pakhtunkhwa,6.84,7.1,0
Khyber Pakhtunkhwa,24.4,7.34,60.86
Khyber Pakhtunkhwa,5.53,4.47,13.71
Khyber Pakhtunkhwa,6.25,6.55,0
Khyber Pakhtunkhwa,42.48,14.25,91.02
Khyber Pakhtunkhwa,11.34,10.28,31.29
Khyber Pakhtunkhwa,9.76,7.29,35.85
Khyber Pakhtunkhwa,8.05,8.39,1.66
Khyber Pakhtunkhwa,10.07,5.2,26.18
Khyber Pakhtunkhwa,9.8,9.62,13.33
Khyber Pakhtunkhwa,6.79,6.79,6.86
Khyber Pakhtunkhwa,7.95,8.4,0
Khyber Pakhtunkhwa,13.64,6.18,51.74
Khyber Pakhtunkhwa,12.53,12.53,12.56
Khyber Pakhtunkhwa,15.41,15.27,22.55
Khyber Pakhtunkhwa,8.43,8.3,10.98
Khyber Pakhtunkhwa,47.34,10.51,81.45
Khyber Pakhtunkhwa,25.37,9.16,43.96
Punjab,8.96,6.06,19.79
Punjab,26.13,19.24,42.43
Punjab,32.22,16.23,60.51
Punjab,24.33,12.8,78.19
Punjab,12.22,8.53,20.63
Punjab,19.11,10.61,54.1
Punjab,42.87,22.34,87.97
Punjab,13.09,10.44,30.83
Punjab,8.8,8.92,7.95
Punjab,11.6,10.79,17.81
Punjab,13.69,12.81,19.38
Punjab,34.49,16.59,63.63
Punjab,6.95,4.94,15.36
Punjab,10.12,7.23,16.99
Punjab,23.25,12.09,47.16
Punjab,18.1,14.52,38.18
Punjab,7.12,6.97,8.07
Punjab,41.1,16.19,85.73
Punjab,26.47,15.07,47.84
Punjab,13.67,13.68,13.56
Punjab,18.11,10.15,47.9
Punjab,17.74,10.85,38.34
Punjab,26.4,10.99,60.32
Punjab,12.82,10.27,25.53
Punjab,18.21,14.85,29.68
Punjab,24.82,13.7,54.89
Punjab,29.85,15.71,60.62
Punjab,25.6,15.23,51.93
Punjab,49.31,25.64,93.95
Punjab,5.37,4.63,9.33
Punjab,27.56,16.99,57.23
Punjab,12.47,9.86,28.48
Punjab,9.24,8.97,10.78
Punjab,13.43,10.13,29.36
Punjab,26.3,14.62,51.82
Punjab,23.95,14.12,41.6
Sindh,23.9,15.59,47.17
Sindh,12.23,12.93,9.08
Sindh,32.45,19.83,78.93
Sindh,12.28,9.38,25.23
Sindh,36.37,19.01,83.72
Sindh,9.52,6.91,26.72
Sindh,5.76,5.8,5.21
Sindh,40.13,22.35,89.55
Sindh,17.45,14.49,52.3
Sindh,14.93,11.7,34.14
Sindh,16.79,13.42,27.12
Sindh,32.15,10.58,76.47
Sindh,16.29,13.65,34.21
Sindh,27.36,16.51,67.58
Sindh,20.14,12.48,56.58
Sindh,20.67,11.33,84.15
Sindh,33.39,20.38,67.78
Sindh,17.1,15.12,38.56
Sindh,21.5,17.43,52.92
Sindh,18.2,12.58,36.84
Sindh,21.81,14.14,44.27
Sindh,33.12,12.38,78.22
Sindh,14.75,12.09,54.77
Sindh,37.72,10.39,82.37
Balochistan,33.39,25.7,54.86
Balochistan,26.94,26.81,43.63
Balochistan,26.79,26.94,21.45
Balochistan,10.35,10.32,13.6
Balochistan,21.4,21.36,23.75
Balochistan,37.66,18.32,94.61
Balochistan,25.96,25.4,38.36
Balochistan,18.8,19.19,0
Balochistan,32.47,27.56,40.06
Balochistan,18.91,18.95,0
Balochistan,31.75,30.57,33.49
Balochistan,20.09,19.33,77.89
Balochistan,8.02,8.04,7.33
Balochistan,43.72,12.88,97.18
Balochistan,10.64,10.95,0
Balochistan,8.79,8.48,12.01
Balochistan,24.6,19.91,89.73
Balochistan,26.96,25.43,29.7
Balochistan,23.7,13.41,84.57
Balochistan,45.26,21.3,96.45
Balochistan,22.17,22.09,26.61
Balochistan,12.74,12.85,0
Balochistan,3.99,4.26,0
Balochistan,17.31,13.19,40.19
Balochistan,8.79,8.48,12.01
Balochistan,37.66,18.32,94.61
Balochistan,39.28,32.04,55.72
Balochistan,20.04,20.12,11.23
Balochistan,24.41,24.58,11.75
